Discharge Current (A),Discharge Capacity (mAh),Cell Voltage (V)
5,924.7699777,3.666279552
5,965.3510845,3.651788051
5,1005.932191,3.63759985
5,1046.513298,3.622956698
5,1087.094405,3.608616847
5,1127.675511,3.593367096
5,1168.256618,3.578572295
5,1208.837725,3.563322544
5,1249.418832,3.548527743
5,1289.999938,3.532974692
5,1330.581045,3.517269991
5,1371.162152,3.50217189
5,1411.743259,3.487528739
5,1452.324365,3.472582288
5,1492.905472,3.458697386
5,1533.486579,3.445267435
5,1574.067686,3.432899033
5,1614.648792,3.420985581
5,1655.229899,3.409527078
5,1695.811006,3.398371876
5,1736.392112,3.387368324
5,1776.973219,3.376971371
5,1817.554326,3.366119469
5,1858.135433,3.356329116
5,1898.716539,3.346083813
5,1939.297646,3.335990161
5,1979.878753,3.325593208
5,2020.45986,3.315347906
5,2061.040966,3.304950953
5,2101.622073,3.29440235
5,2142.20318,3.282488898
5,2182.784287,3.271333696
5,2223.365393,3.259420244
5,2263.9465,3.247051842
5,2304.527607,3.233166941
5,2345.108714,3.218675439
5,2385.68982,3.203122388
5,2426.270927,3.186052838
5,2466.852034,3.166556888
5,2507.43314,3.145696089
5,2548.014247,3.121195691
5,2588.595354,3.092904044
5,2629.176461,3.058849699
5,2666.068376,3.021112911
5,2697.426504,2.98525171
5,2725.09544,2.947511617
5,2750.919781,2.905694368
5,2772.132632,2.863112253
5,2788.272845,2.825336661
5,2808.102249,2.791306701
5,2826.548207,2.756654074
5,2835.771186,2.680900826
5,2850.527952,2.653178724
5,2859.750931,2.575590511
5,2875.245535,2.529850855
15,9.850480386,3.816807364
15,12.61737403,3.763420802
15,27.37414011,3.720296121
15,65.18835321,3.689609129
15,105.7694599,3.670719779
15,146.3505667,3.656531577
15,186.9316734,3.643859876
15,227.5127802,3.632856323
15,268.0938869,3.621246171
15,308.6749936,3.609787669
15,349.2561004,3.598935766
15,389.8372071,3.587477264
15,430.4183138,3.575563812
15,470.9994206,3.56395366
15,511.5805273,3.551736908
15,552.1616341,3.538761906
15,592.7427408,3.526696804
15,633.3238475,3.514935002
15,673.9049543,3.5022633
15,714.486061,3.490653148
15,755.0671677,3.477526496
15,795.6482745,3.465158094
15,836.2293812,3.453092992
15,876.8104879,3.440572941
15,917.3915947,3.427294639
15,957.9727014,3.414926237
15,998.5538082,3.401951235
15,1039.134915,3.388521284
15,1079.716022,3.376152882
15,1120.297128,3.36363283
15,1160.878235,3.350202878
15,1201.459342,3.337682826
15,1242.040449,3.324859475
15,1282.621555,3.313097672
15,1323.202662,3.300122671
15,1363.783769,3.287905919
15,1404.364876,3.276447416
15,1444.945982,3.264533964
15,1485.527089,3.252620512
15,1526.108196,3.24207191
15,1566.689302,3.230765058
15,1607.270409,3.220519755
15,1647.851516,3.209212903
15,1688.432623,3.1992709
15,1729.013729,3.189480547
15,1769.594836,3.179386895
15,1810.175943,3.168989942
15,1850.75705,3.158744639
15,1891.338156,3.149409236
15,1931.919263,3.139467234
15,1972.50037,3.129373581
15,2013.081477,3.119279928
15,2053.662583,3.109641226
15,2094.24369,3.099244273
15,2134.824797,3.088544021
15,2175.405904,3.077692118
15,2215.98701,3.066688566
15,2256.568117,3.055078414
15,2297.149224,3.042710012
15,2337.73033,3.02973501
15,2378.311437,3.015698459
15,2418.892544,2.999538808
15,2459.473651,2.982772557
15,2500.054757,2.963276608
15,2540.635864,2.941050959
15,2581.216971,2.916398911
15,2621.798078,2.888258914
15,2662.379184,2.856782618
15,2701.115695,2.822474321
15,2736.163015,2.787240239
15,2767.521143,2.751147351
15,2795.190079,2.712930644
15,2820.194599,2.67585477
15,2840.879297,2.637928892
15,2861.930908,2.598712576
15,2881.88608,2.559196416
15,2900.127082,2.523515525
20,9.850480386,3.710045798
20,11.08021089,3.657774547
20,20.91805495,3.609377665
20,44.15996154,3.577523073
20,83.63431082,3.559151645
20,124.2154176,3.546783243
20,164.7965243,3.53714454
20,205.377631,3.526595938
20,245.9587378,3.514985786
20,286.5398445,3.503678933
20,327.1209512,3.492523731
20,367.702058,3.480761929
20,408.2831647,3.467635277
20,448.8642714,3.455266875
20,489.4453782,3.442443523
20,530.0264849,3.429468522
20,570.6075917,3.41634187
20,611.1886984,3.403821818
20,651.7698051,3.391756716
20,692.3509119,3.379691614
20,732.9320186,3.367778162
20,773.5131253,3.35677461
20,814.0942321,3.345467757
20,854.6753388,3.334615855
